ts,equity,mode,bias,active_bias,reason,price,adx15,ema9,ema21,rsi5,atr5,vol,vol_sma,don_hi,don_lo,vol_regime,atr_pct15,atrp_low,atrp_high
2026-03-06T10:24:53.807925+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:04.346001+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:15.050708+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:25.760838+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:36.464115+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:47.064023+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:25:57.775278+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:26:08.154642+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:26:18.537651+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:26:29.392915+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2063.95,31.069628,2060.850576,2063.626209,48.016338,3.54099,130734.635,203730.89695,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:26:39.770852+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:26:50.335698+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:01.043938+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:11.773088+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:22.340181+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:33.218280+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:43.921904+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:27:54.625747+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:28:05.332037+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:28:16.054917+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:28:26.760012+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:28:37.642270+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:28:50.103763+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:00.972276+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:11.842553+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:22.424531+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:33.390975+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:44.263476+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
2026-03-06T10:29:55.116404+00:00,4673.01,TREND,SHORT,SHORT,no_setup_short,2065.15,31.069628,2061.710461,2063.764733,50.134446,3.450527,140562.095,193456.70075,,,NORMAL,0.003665,0.002985,0.006368
